Lock and Dam,Latitude,Longitude
Emsworth L&D,40.50433674,-80.08888263
Dashields L&D,40.54923113,-80.20583506
Montgomery L&D,40.6495225,-80.38566686
New Cumberland L&D,40.5280421,-80.62637861
Pike Island L&D,40.15041496,-80.70346793
Hannibal L&D,39.66712816,-80.86523598
Willow Island L&D,39.36031734,-81.32010338
Belleville L&D,39.11894171,-81.74208518
Racine L&D,38.91717331,-81.9112999
R.C. Byrd L&D,38.68159422,-82.18824214
Winfield L&D,38.52639016,-81.91290497
Marmet L&D,38.25321288,-81.5681747
Greenup L&D,38.64689304,-82.85957433
Meldahl L&D,38.7971196,-84.17256476
Markland L&D,38.77530329,-84.96465072
,39.470342,-81.491097
,39.529552,-81.51642
,39.554642,-81.64598
,39.536845,-81.721999
,39.547536,-81.789339
